games	atBat	runs	hits	strikeout	numPlayers
wins	29	1	15	3	12
loss	33	2	7	4	11
loss	30	5	19	9	15
loss	25	0	19	6	14
wins	42	5	22	6	17
wins	37	8	21	5	15
loss	34	5	15	7	21
loss	36	5	22	6	21
loss	34	2	9	7	17
loss	32	3	7	5	14
wins	28	1	2	5	12
wins	42	10	14	7	17
loss	34	7	9	10	16
loss	35	6	9	8	15
wins	36	2	10	4	12
wins	32	0	5	9	10
loss	39	8	10	7	17
loss	40	4	9	7	14
wins	30	3	5	7	15
wins	32	2	7	11	16
wins	36	5	9	6	13
loss	36	2	9	8	13
loss	33	3	6	8	15
loss	29	4	7	4	15
wins	33	6	10	9	12
loss	35	4	17	4	12
loss	34	3	16	5	16
wins	40	3	16	15	17
wins	39	2	20	6	15
wins	33	3	11	7	13
wins	33	4	20	7	12
loss	32	4	17	14	15
loss	32	2	17	2	16
wins	31	1	12	11	12
loss	35	4	13	9	14
wins	31	0	13	7	13
loss	33	4	19	6	13
wins	38	4	22	6	15
loss	36	4	16	10	18
